cnty,G18AGRDFri_sum,G18AGRRCal_sum,G18AGRRfRi_sum,G18AGRSum_sum,G18AM10No_sum,G18AM10Sum_sum,G18AM10Yes_sum,G18AM11No_sum,G18AM11Sum_sum,G18AM11Yes_sum,G18AM12No_sum,G18AM12Sum_sum,G18AM12Yes_sum,G18AM13No_sum,G18AM13Sum_sum,G18AM13Yes_sum,G18AM1No_sum,G18AM1Sum_sum,G18AM1Yes_sum,G18AM2No_sum,G18AM2Sum_sum,G18AM2Yes_sum,G18AM3No_sum,G18AM3Sum_sum,G18AM3Yes_sum,G18AM4No_sum,G18AM4Sum_sum,G18AM4Yes_sum,G18AM5No_sum,G18AM5Sum_sum,G18AM5Yes_sum,G18AM6No_sum,G18AM6Sum_sum,G18AM6Yes_sum,G18AM7No_sum,G18AM7Sum_sum,G18AM7Yes_sum,G18AM9No_sum,G18AM9Sum_sum,G18AM9Yes_sum,G18ATGDMoo_sum,G18ATGDSha_sum,G18ATGISis_sum,G18ATGNPA_sum,G18ATGSum_sum,G18CFODRin_sum,G18CFORPat_sum,G18CFOSum_sum,G18GOVDGil_sum,G18GOVRDeS_sum,G18GOVSum_sum,G18SENDNel_sum,G18SENDSco_sum,G18SENNPA_sum,G18SENSum_sum,SumRegis_sum
DUV,187581,184673,1580,372254,130084,353289,223205,117067,348909,231842,77799,358621,280822,123659,365243,241584,161443,366047,204604,118424,363499,245075,115819,370841,255022,126897,371063,244166,128997,362781,233784,135986,363751,227765,117943,361465,243522,136143,361641,225498,189329,180292,5930,1853,375551,182484,188475,370959,196612,179902,379947,192381,185904,0,378285,607386
ESC,51992,75298,868,127290,36673,122321,85648,41041,119747,78706,24069,123713,99644,43477,125381,81904,49219,125470,76251,37372,124537,87165,29676,126960,97284,45568,127513,81945,36237,125396,89159,43246,125127,81881,36090,124707,88617,40279,125236,84957,77109,48501,2403,944,128013,50430,76155,126585,52835,74718,129365,52874,75931,0,128805,212987
FLA,21325,30638,319,51963,16152,49158,33006,17705,48347,30642,9840,50127,40287,15717,51130,35413,18470,51086,32616,15942,50407,34465,13052,51762,38710,20279,51492,31213,14098,50572,36474,17674,50701,33027,16297,50494,34197,18031,50570,32539,32053,19483,960,363,52496,20499,31151,51650,21183,30951,52816,21417,31467,0,52884,82611
FRA,1887,3447,36,5334,1762,5000,3238,2030,4866,2836,1212,5014,3802,2277,5186,2909,2125,5222,3097,1802,5155,3353,1296,5202,3906,2068,5210,3142,1697,5103,3406,1973,5104,3131,1708,5050,3342,2097,5124,3027,3449,1759,122,86,5330,1604,3781,5385,1794,3516,5432,2011,3404,0,5415,7783
GAD,13491,6331,65,19822,6647,19203,12556,7099,19044,11945,6141,19325,13184,9210,19493,10283,10967,19545,8578,7847,19440,11593,5168,19645,14477,4774,19643,14869,8691,19371,10680,7647,19503,11856,6060,19292,13232,7191,19353,12162,6642,13042,192,79,19876,13216,6569,19785,13718,6204,20066,13942,6053,0,19995,29791
GIL,1332,5985,47,7317,2331,7138,4807,3370,7006,3636,2006,7120,5114,4288,7248,2960,2949,7210,4261,2241,7183,4942,2191,7274,5083,4028,7288,3260,1871,7245,5374,2858,7230,4372,2608,7201,4593,3603,7201,3598,6095,1148,92,62,7335,1363,5882,7245,1282,5975,7366,1633,5703,0,7336,11767
GLA,1066,2744,29,3810,1089,3672,2583,1557,3603,2046,907,3686,2779,1973,3745,1772,1633,3758,2125,1114,3716,2602,1208,3795,2587,1835,3797,1962,1069,3738,2669,1208,3745,2537,1121,3728,2607,1795,3723,1928,2690,1032,73,59,3795,1121,2619,3740,1095,2647,3830,1156,2666,0,3822,6784
GUL,1505,4312,48,5817,1489,5504,4015,1937,5367,3430,1115,5577,4462,2616,5639,3023,1944,5745,3801,1695,5678,3983,1328,5709,4381,2455,5669,3214,1507,5589,4082,1696,5586,3890,1391,5564,4173,2313,5592,3279,4300,1426,118,72,5844,1275,4597,5872,1511,4265,5896,1580,4321,0,5901,10216
HAM,1618,2898,21,4516,1381,4222,2841,1863,4123,2260,1197,4211,3014,2370,4305,1935,2042,4400,2358,1449,4393,2944,1152,4354,3202,1968,4341,2373,1453,4251,2798,1593,4300,2707,1363,4224,2861,2044,4266,2222,2942,1530,47,32,4519,1594,2877,4471,1591,2908,4552,1671,2856,0,4527,7727
HAR,1805,4484,37,6289,2192,6017,3825,2922,5935,3013,1997,6062,4065,3323,6182,2859,2898,6169,3271,2256,6130,3874,2363,6221,3858,2921,6264,3343,2125,6191,4066,2324,6216,3892,2155,6140,3985,2974,6125,3151,4712,1547,107,73,6366,1743,4532,6275,1802,4485,6397,1915,4454,0,6369,12258
HEN,3413,5389,76,8802,2762,8250,5488,3394,8176,4782,2286,8241,5955,4079,8454,4375,3723,8485,4762,2687,8439,5752,2687,8549,5862,3542,8555,5013,2618,8415,5797,2793,8437,5644,2384,8407,6023,3559,8366,4807,5332,3289,148,104,8769,3460,5177,8637,3516,5177,8873,3542,5304,0,8846,17774
HER,30719,48753,730,79472,24200,76476,52276,30616,75044,44428,16627,77333,60706,27525,78766,51241,29323,78517,49194,26617,77534,50917,22468,79137,56669,31797,79405,47608,23202,77972,54770,26992,78118,51126,23922,77635,53713,28355,78007,49652,52218,26090,1749,787,80057,28541,50579,79120,29431,49674,80622,30796,49494,0,80290,133862
HIG,13392,26017,273,39409,12680,37631,24951,15411,36866,21455,9145,37988,28843,15949,38728,22779,17448,38699,21251,12089,38220,26131,13257,38963,25706,17170,38819,21649,11740,38193,26453,14427,38456,24029,12574,38130,25556,16399,38200,21801,27231,11587,701,416,39519,12564,26539,39103,12783,26285,39757,13398,26282,0,39680,59272
HIL,283229,228444,2996,511673,192976,490342,297366,211144,484156,273012,137300,497919,360619,172389,506589,334200,230687,498484,267797,201691,491843,290152,165877,503038,337161,168226,506274,338048,197655,497601,299946,207613,499654,292041,182675,504325,321650,167644,505120,337476,258082,251985,8672,3432,518739,266493,243827,510320,281598,234835,522861,281567,239622,0,521189,857266
HOL,791,5958,27,6749,1778,6359,4581,2666,6229,3563,1618,6419,4801,4103,6526,2423,2169,6589,4420,1729,6504,4775,1645,6618,4973,3293,6565,3272,1461,6487,5026,2225,6494,4269,1728,6422,4694,3363,6446,3083,5921,732,102,69,6755,688,6053,6741,737,5940,6773,856,5919,0,6775,9454
IND,27929,44637,385,72566,25693,68253,42560,26962,66635,39673,15981,69846,53865,19781,71968,52187,29046,70770,41724,20497,70194,49697,22980,71926,48946,29882,71753,41871,23445,70256,46811,27297,70793,43496,26359,69970,43611,24183,70913,46730,46247,25807,1240,482,73294,26833,45037,71870,28460,44924,74251,29173,44784,0,73957,113426
JAC,5214,10643,72,15857,4223,15193,10970,6164,14947,8783,4074,15267,11193,8393,15522,7129,6146,15622,9476,4961,15465,10504,3857,15744,11887,6694,15611,8917,4458,15429,10971,5480,15449,9969,3943,15367,11424,6840,15343,8503,10744,4956,169,115,15869,4761,11118,15879,5019,10771,15977,5182,10791,0,15973,27996
JEF,3332,3877,65,7209,2926,6944,4018,3074,6852,3778,2445,6997,4552,3747,7121,3374,3659,7134,3475,2780,7092,4312,2289,7149,4860,2813,7135,4322,2984,7055,4071,3087,7083,3996,2728,7020,4292,3185,7059,3874,3992,3138,115,42,7245,3260,3911,7171,3376,3877,7360,3624,3699,0,7323,39156
LAF,461,2340,14,2801,1015,2721,1706,1428,2682,1254,1013,2710,1697,1898,2755,857,1383,2776,1393,820,2764,1944,1102,2773,1671,1614,2768,1154,903,2741,1838,1149,2744,1595,1067,2731,1664,1593,2725,1132,2355,415,39,28,2809,477,2301,2778,419,2363,2824,621,2194,0,2815,4356
LAK,59640,92600,1026,152240,46442,144324,97882,53898,142591,88693,23575,150235,126660,46095,152649,106554,55702,150074,94372,46414,147768,101354,41360,151377,110017,58911,150657,91746,42898,147486,104588,51950,148258,96308,44362,147938,103576,54194,147983,93789,96282,54686,2957,1187,153925,57600,93737,151337,60289,92633,155135,61402,93537,0,154939,236080
LEE,111464,171534,2046,282998,83457,267868,184411,90870,260648,169778,47648,272453,224805,92209,277520,185311,86052,275431,189379,68898,270845,201947,81737,276443,194706,119897,277337,157440,68956,272300,203344,86762,274483,187721,81679,273218,191539,88758,277744,188986,179082,101425,4992,2269,285499,108229,172190,280419,111198,174078,289591,114815,174276,0,289091,446254
LEO,86219,49459,725,135678,59012,129558,70546,49708,127932,78224,44386,131741,87355,47077,134676,87599,76822,133198,56376,62702,132020,69318,46200,135168,88968,36891,137013,100122,65352,133421,68069,65499,133898,68399,57980,133031,75051,44147,133912,89765,53398,81881,2379,595,137658,81878,53869,135747,88770,49947,140037,91077,48760,0,139837,213195
LEV,4830,12079,148,16909,5144,16330,11186,6953,16033,9080,4205,16468,12263,9004,16665,7661,6959,16658,9699,5158,16457,11299,4917,16760,11843,8075,16745,8670,4803,16505,11702,6049,16540,10491,5562,16405,10843,7579,16423,8844,12496,4259,239,139,16994,4815,11996,16811,4718,12084,17089,5317,11657,0,16974,27859
LIB,610,2023,36,2633,857,2432,1575,1176,2357,1181,798,2452,1654,1532,2547,1015,1078,2565,1487,881,2533,1652,778,2558,1780,1205,2546,1341,810,2488,1678,902,2506,1604,745,2463,1718,1369,2485,1116,2014,566,48,59,2628,525,2116,2641,526,2059,2680,631,2075,0,2706,0
MAD,3163,4342,20,7505,2768,7232,4464,3364,7130,3766,2610,7261,4651,4329,7379,3050,3805,7383,3578,2589,7393,4804,2281,7449,5168,3295,7488,4193,2869,7331,4462,3146,7355,4209,2793,7285,4492,3328,7292,3964,4413,3084,69,25,7566,3193,4296,7489,3237,4347,7629,3423,4183,0,7606,11841
MAN,69075,91190,1132,160265,52877,153431,100554,50521,150011,99490,27141,155927,128786,55517,159141,103624,58170,158379,100209,49923,156583,106660,42506,160147,117641,61980,160159,98179,46497,157361,110864,55857,157885,102028,47871,157057,109186,48256,157902,109646,96918,61755,3305,1338,161978,64242,95891,160133,67615,93235,163320,68842,94358,0,163200,245088
MON,17427,17670,190,35097,11949,33595,21646,11639,32820,21181,5153,34356,29203,8801,35118,26317,12369,34730,22361,11217,34261,23044,7761,35169,27408,12735,35227,22492,10381,34474,24093,12891,34563,21672,11370,34476,23106,8945,34913,25968,18411,16196,768,255,35375,16393,18524,34917,17176,18508,36129,18050,18032,0,36082,53869
MRN,57476,94620,1315,152096,47806,146399,98593,56436,143630,87194,31328,148421,117093,50314,150947,100633,62396,150835,88439,47208,149084,101876,38689,152365,113676,61451,151843,90392,45108,149459,104351,54128,150198,96070,49093,149275,100182,54111,149316,95205,98396,52779,2391,1247,153566,56052,95696,151748,57388,94897,154847,58989,95553,0,154542,243088
MRT,29287,47088,351,76375,24936,72195,47259,25892,70467,44575,13233,73884,60651,22001,75581,53580,27738,75537,47799,19479,74629,55150,21074,76218,55144,32474,75996,43522,22008,74331,52323,26386,74746,48360,26603,73965,47362,22768,74896,52128,49112,25817,1386,419,76315,27133,47882,75015,29148,47849,77767,30690,46734,0,77424,114094
